replicate,method,category,common_genes,category_genes,called,call_fraction
52,MAST,db,3983,125,79,0.632
52,MAST,ee,3983,3132,457,0.14591315453384418
52,MAST,ep,3983,435,45,0.10344827586206896
52,wilcoxon,de,3983,100,82,0.82
52,wilcoxon,dp,3983,95,67,0.7052631578947368
52,wilcoxon,dm,3983,96,60,0.625
52,wilcoxon,db,3983,125,56,0.448
52,wilcoxon,ee,3983,3132,36,0.011494252873563218
52,wilcoxon,ep,3983,435,7,0.016091954022988506
52,diffxpy,de,3983,100,95,0.95
52,diffxpy,dp,3983,95,87,0.9157894736842105
52,diffxpy,dm,3983,96,88,0.9166666666666666
52,diffxpy,db,3983,125,105,0.84
52,diffxpy,ee,3983,3132,24,0.007662835249042145
52,diffxpy,ep,3983,435,9,0.020689655172413793
52,DESeq2,de,3983,100,98,0.98
52,DESeq2,dp,3983,95,91,0.9578947368421052
52,DESeq2,dm,3983,96,93,0.96875
52,DESeq2,db,3983,125,104,0.832
52,DESeq2,ee,3983,3132,27,0.008620689655172414
52,DESeq2,ep,3983,435,2,0.004597701149425287
53,DUET,de,3997,110,98,0.8909090909090909
53,DUET,dp,3997,92,67,0.7282608695652174
53,DUET,dm,3997,100,67,0.67
53,DUET,db,3997,101,57,0.5643564356435643
53,DUET,ee,3997,3213,0,0.0
53,DUET,ep,3997,381,0,0.0
53,MAST,de,3997,110,97,0.8818181818181818
53,MAST,dp,3997,92,67,0.7282608695652174
53,MAST,dm,3997,100,67,0.67
53,MAST,db,3997,101,57,0.5643564356435643
53,MAST,ee,3997,3213,0,0.0
53,MAST,ep,3997,381,0,0.0
53,wilcoxon,de,3997,110,102,0.9272727272727272
53,wilcoxon,dp,3997,92,78,0.8478260869565217
53,wilcoxon,dm,3997,100,83,0.83
53,wilcoxon,db,3997,101,54,0.5346534653465347
53,wilcoxon,ee,3997,3213,0,0.0
53,wilcoxon,ep,3997,381,0,0.0
53,diffxpy,de,3997,110,110,1.0
53,diffxpy,dp,3997,92,89,0.967391304347826
53,diffxpy,dm,3997,100,95,0.95
53,diffxpy,db,3997,101,93,0.9207920792079208
53,diffxpy,ee,3997,3213,14,0.004357298474945534
53,diffxpy,ep,3997,381,3,0.007874015748031496
53,DESeq2,de,3997,110,110,1.0
53,DESeq2,dp,3997,92,90,0.9782608695652174
53,DESeq2,dm,3997,100,97,0.97
53,DESeq2,db,3997,101,86,0.8514851485148515
53,DESeq2,ee,3997,3213,8,0.0024898848428260194
53,DESeq2,ep,3997,381,1,0.0026246719160104987
54,DUET,de,3997,85,75,0.8823529411764706
54,DUET,dp,3997,94,71,0.7553191489361702
54,DUET,dm,3997,117,82,0.7008547008547008
54,DUET,db,3997,80,22,0.275
54,DUET,ee,3997,3257,0,0.0
54,DUET,ep,3997,364,0,0.0
54,MAST,de,3997,85,75,0.8823529411764706
54,MAST,dp,3997,94,71,0.7553191489361702
54,MAST,dm,3997,117,82,0.7008547008547008
54,MAST,db,3997,80,22,0.275
54,MAST,ee,3997,3257,0,0.0
54,MAST,ep,3997,364,0,0.0
54,wilcoxon,de,3997,85,79,0.9294117647058824
54,wilcoxon,dp,3997,94,76,0.8085106382978723
54,wilcoxon,dm,3997,117,94,0.8034188034188035
54,wilcoxon,db,3997,80,32,0.4
54,wilcoxon,ee,3997,3257,0,0.0
54,wilcoxon,ep,3997,364,0,0.0
54,diffxpy,de,3997,85,84,0.9882352941176471
54,diffxpy,dp,3997,94,91,0.9680851063829787
54,diffxpy,dm,3997,117,111,0.9487179487179487
54,diffxpy,db,3997,80,55,0.6875
54,diffxpy,ee,3997,3257,28,0.008596868283696654
54,diffxpy,ep,3997,364,5,0.013736263736263736
54,DESeq2,de,3997,85,85,1.0
54,DESeq2,dp,3997,94,92,0.9787234042553191
54,DESeq2,dm,3997,117,116,0.9914529914529915
54,DESeq2,db,3997,80,39,0.4875
54,DESeq2,ee,3997,3257,5,0.0015351550506601166
54,DESeq2,ep,3997,364,1,0.0027472527472527475
55,DUET,de,3971,110,95,0.8636363636363636
55,DUET,dp,3971,98,60,0.6122448979591837
55,DUET,dm,3971,114,70,0.6140350877192983
55,DUET,db,3971,92,32,0.34782608695652173
55,DUET,ee,3971,3200,0,0.0
55,DUET,ep,3971,357,0,0.0
55,MAST,de,3971,110,95,0.8636363636363636
55,MAST,dp,3971,98,60,0.6122448979591837
55,MAST,dm,3971,114,70,0.6140350877192983
55,MAST,db,3971,92,32,0.34782608695652173
55,MAST,ee,3971,3200,0,0.0
55,MAST,ep,3971,357,0,0.0
55,wilcoxon,de,3971,110,92,0.8363636363636363
55,wilcoxon,dp,3971,98,62,0.6326530612244898
55,wilcoxon,dm,3971,114,74,0.6491228070175439
55,wilcoxon,db,3971,92,39,0.42391304347826086
55,wilcoxon,ee,3971,3200,0,0.0
55,wilcoxon,ep,3971,357,0,0.0
55,diffxpy,de,3971,110,108,0.9818181818181818
55,diffxpy,dp,3971,98,90,0.9183673469387755
55,diffxpy,dm,3971,114,108,0.9473684210526315
55,diffxpy,db,3971,92,80,0.8695652173913043
55,diffxpy,ee,3971,3200,8,0.0025
55,diffxpy,ep,3971,357,0,0.0
55,DESeq2,de,3971,110,110,1.0
55,DESeq2,dp,3971,98,90,0.9183673469387755
55,DESeq2,dm,3971,114,111,0.9736842105263158
55,DESeq2,db,3971,92,80,0.8695652173913043
55,DESeq2,ee,3971,3200,32,0.01
55,DESeq2,ep,3971,357,0,0.0
56,DUET,de,3997,102,91,0.8921568627450981
56,DUET,dp,3997,114,89,0.7807017543859649
56,DUET,dm,3997,98,72,0.7346938775510204
56,DUET,db,3997,104,43,0.41346153846153844
56,DUET,ee,3997,3202,0,0.0
56,DUET,ep,3997,377,0,0.0
56,MAST,de,3997,102,91,0.8921568627450981
56,MAST,dp,3997,114,89,0.7807017543859649
56,MAST,dm,3997,98,72,0.7346938775510204
56,MAST,db,3997,104,43,0.41346153846153844
56,MAST,ee,3997,3202,0,0.0
56,MAST,ep,3997,377,0,0.0
56,wilcoxon,de,3997,102,93,0.9117647058823529
56,wilcoxon,dp,3997,114,95,0.8333333333333334
56,wilcoxon,dm,3997,98,78,0.7959183673469388
56,wilcoxon,db,3997,104,44,0.4230769230769231
56,wilcoxon,ee,3997,3202,2,0.0006246096189881324
56,wilcoxon,ep,3997,377,0,0.0
56,diffxpy,de,3997,102,101,0.9901960784313726
56,diffxpy,dp,3997,114,111,0.9736842105263158
56,diffxpy,dm,3997,98,94,0.9591836734693877
56,diffxpy,db,3997,104,52,0.5
56,diffxpy,ee,3997,3202,30,0.009369144284821987
56,diffxpy,ep,3997,377,3,0.007957559681697613
56,DESeq2,de,3997,102,100,0.9803921568627451
56,DESeq2,dp,3997,114,112,0.9824561403508771
56,DESeq2,dm,3997,98,95,0.9693877551020408
