gene,celltype,mean_ref,mean_test,det_ref,det_test,common_log2fc,delta_det_pp,lfc_DUET,lfc_MAST,lfc_diffxpy,lfc_DESeq2,lfc_Wilcoxon
LYZ,Endothelial cell,0.00350727,0.33273265,0.004149377593360996,0.22928461142562814,6.812005,22.513523383226712,0.4749719142418864,0.4740556842522735,4.825302517442525,7.316304238374514,6.812005043029785
MATR3,Endothelial cell,0.97991836,0.0010941927,0.5968188105117547,0.0015440041173443132,-10.569989,-59.52748063944103,-1.412143393168486,-1.41011904625884,-7.018863766176239,-9.605401643170238,-10.569987297058104
MRPS24,Endothelial cell,0.0056470735,0.3838107,0.00760719225449516,0.37364899639733246,6.368377,36.604180414283725,0.5455748776969235,0.5448056337218911,4.270650750621314,5.823596533540386,6.368377685546875
MSANTD3,Endothelial cell,0.53976506,0.099823266,0.38174273858921043,0.12326299536798699,-2.7691066,-25.847974322122347,-0.6347024911445174,-0.6343002053316938,-1.806429886279578,-2.9957579400005403,-2.769109010696411
NCBP2AS2,Endothelial cell,0.6634017,0.16064428,0.46196403872752273,0.18296448790529948,-2.433484,-27.899955082222327,-0.725325292870209,-0.7249490889804776,-1.5090321502391937,-2.464670415474241,-2.4334828853607178
NME2,Endothelial cell,0.042749003,1.5904747,0.04495159059474409,0.8131755018013873,6.482739,76.82239112066432,2.232896632813347,2.231686192528848,4.460421275709155,6.068702487030684,6.4827399253845215
NR1D1,Endothelial cell,0.2678576,0.05041928,0.20885200553250285,0.0597014925373137,-2.570425,-14.915051299518916,-0.3136972191968186,-0.3133373229951137,-1.7060191003476652,-2.517968778639228,-2.570424795150757
OSGIN2,Endothelial cell,0.15711884,0.047035825,0.13831258644536618,0.05635615028306765,-1.8207828,-8.195643616229853,-0.1588161423395415,-0.1585903191278612,-1.2455201581161757,-2.0321850234975973,-1.8207826614379885
PFDN5,Endothelial cell,0.12033388,1.5143981,0.10650069156293197,0.8147195059187318,4.793683,70.82188143557998,2.011206349342711,2.0101577272907343,3.3343879859528216,4.71768950231052,4.7936787605285645
PGP,Endothelial cell,0.8352295,0.20546018,0.5325034578146595,0.22902727740607076,-2.5167537,-30.34761804085887,-0.9085647244319396,-0.9081583994869732,-1.522691362544829,-2.3208186211504502,-2.516753435134888
POLD4,Endothelial cell,0.008496318,0.29391778,0.009681881051175656,0.2959341224909949,5.323504,28.62522414398192,0.4117759572718207,0.4110363656483578,3.671907399440124,5.067711540120369,5.323503494262695
PSMB1,Endothelial cell,2.3328934,0.7543517,0.9349930843706746,0.5833762223366209,-3.0469232,-35.161686203405374,-2.277352102662299,-2.276244428080971,-1.623096600108619,-2.354867399414516,-3.0469205379486084
RPL17,Endothelial cell,0.20243569,2.6511035,0.19432918395573942,0.9420998455996493,5.875122,74.77706616439099,3.532682074634552,3.5312719108946973,3.917259408015071,5.238714249950323,5.875123977661133
